Wayne, NC,35607,37309,38472
Wilkes, NC,34008,35681,36576
Wilson, NC,37933,38746,40501
Yadkin, NC,34630,36046,37027
Yancey, NC,33002,34410,36715
Abbeville, SC,31893,32937,34108
Aiken, SC,39387,40893,42511
Allendale, SC,29642,31593,33237
Anderson, SC,37066,38391,39710
Bamberg, SC,31047,31915,32858
Barnwell, SC,31489,32117,33363
Beaufort, SC,52147,53766,56711
Berkeley, SC,36813,38885,40415
Calhoun, SC,35244,37199,38451
Charleston, SC,55573,58588,61477
Cherokee, SC,30534,31686,33197
Chester, SC,31277,32650,34014
Chesterfield, SC,28336,29480,31012
Clarendon, SC,30846,31979,33197
Colleton, SC,33068,34184,35697
Darlington, SC,34273,35965,37475
Dillon, SC,26281,27035,27718
Dorchester, SC,36085,37282,38892
Edgefield, SC,33600,35426,36436
Fairfield, SC,34877,35558,36758
Florence, SC,38998,39941,41833
Georgetown, SC,42897,45167,47071
Greenville, SC,44869,46922,48644
Greenwood, SC,34774,36067,37424
Hampton, SC,29866,31054,32473
Horry, SC,35095,35971,37091
Jasper, SC,27345,27920,29242
Kershaw, SC,38575,40130,41227
Lancaster, SC,43592,47281,49127
Laurens, SC,32175,33422,34622
Lee, SC,30186,31553,32708
Lexington, SC,43666,45533,46513
McCormick, SC,33977,36014,38513
Marion, SC,28828,30135,31492
Marlboro, SC,28848,29857,31562
Newberry, SC,35946,36802,37793
Oconee, SC,39806,41722,43312
Orangeburg, SC,31632,32849,33818
Pickens, SC,35645,36973,38344
Richland, SC,42473,44250,45529
Saluda, SC,32473,33625,34455
Spartanburg, SC,40785,41783,43148
Sumter, SC,35764,36978,38603
Union, SC,30339,31618,32745
Williamsburg, SC,30013,31437,32726
York, SC,43080,44804,46667
Anderson, TN,39659,40106,41853
Bedford, TN,35087,35799,37266
Benton, TN,31567,32715,33661
Bledsoe, TN,24290,25154,26281
Blount, TN,39912,41190,42991
Bradley, TN,37423,37766,39099
Campbell, TN,31847,32569,33967
Cannon, TN,34023,34664,36113
Carroll, TN,34125,34777,35900
Carter, TN,32095,33088,34579
Cheatham, TN,40779,41769,43932
Chester, TN,31868,32532,33642
Claiborne, TN,33140,33910,35384
Clay, TN,28819,30471,31013
Cocke, TN,30282,30637,31942
Coffee, TN,36771,37323,38656
Crockett, TN,34677,34675,36560
Cumberland, TN,34810,35518,36613
Davidson, TN,59135,62876,66060
Decatur, TN,41029,40812,42639
DeKalb, TN,37704,38125,40132
Dickson, TN,37579,38766,40556
Dyer, TN,37851,38310,40642
Fayette, TN,51961,52993,55364
Fentress, TN,30366,31029,32232
Franklin, TN,36021,37289,38880
Gibson, TN,36422,37414,38654
Giles, TN,36794,37842,38766
Grainger, TN,30848,31892,33490
Greene, TN,37665,38618,39971
Grundy, TN,29391,29839,31011
Hamblen, TN,35089,35134,36636
Hamilton, TN,48244,49813,51743
Hancock, TN,25563,25777,27042
Hardeman, TN,27863,28288,29430
Hardin, TN,36679,37778,39387
Hawkins, TN,32181,32806,34188
Haywood, TN,30605,30348,32023
Henderson, TN,33321,34542,35748
Henry, TN,39405,40561,41989
Hickman, TN,30049,31401,32780
